Date,ticker,momentum
2020-01-02,AAPL,
2020-01-03,AAPL,
2020-01-06,AAPL,
2020-01-07,AAPL,
2020-01-08,AAPL,
2020-01-09,AAPL,
2020-01-10,AAPL,
2020-01-13,AAPL,
2020-01-14,AAPL,
2020-01-15,AAPL,
2020-01-16,AAPL,
2020-01-17,AAPL,
2020-01-21,AAPL,
2020-01-22,AAPL,
2020-01-23,AAPL,
2020-01-24,AAPL,
2020-01-27,AAPL,
2020-01-28,AAPL,
2020-01-29,AAPL,
2020-01-30,AAPL,
2020-01-31,AAPL,
2020-02-03,AAPL,
2020-02-04,AAPL,
2020-02-05,AAPL,
2020-02-06,AAPL,
2020-02-07,AAPL,
2020-02-10,AAPL,
2020-02-11,AAPL,
2020-02-12,AAPL,
2020-02-13,AAPL,
2020-02-14,AAPL,
2020-02-18,AAPL,
2020-02-19,AAPL,
2020-02-20,AAPL,
2020-02-21,AAPL,
2020-02-24,AAPL,
2020-02-25,AAPL,
2020-02-26,AAPL,
2020-02-27,AAPL,
2020-02-28,AAPL,
2020-03-02,AAPL,
2020-03-03,AAPL,
2020-03-04,AAPL,
2020-03-05,AAPL,
2020-03-06,AAPL,
2020-03-09,AAPL,
2020-03-10,AAPL,
2020-03-11,AAPL,
2020-03-12,AAPL,
2020-03-13,AAPL,
2020-03-16,AAPL,
2020-03-17,AAPL,
2020-03-18,AAPL,
2020-03-19,AAPL,
2020-03-20,AAPL,
2020-03-23,AAPL,
2020-03-24,AAPL,
2020-03-25,AAPL,
2020-03-26,AAPL,
2020-03-27,AAPL,
2020-03-30,AAPL,
2020-03-31,AAPL,
2020-04-01,AAPL,
2020-04-02,AAPL,
2020-04-03,AAPL,
2020-04-06,AAPL,
2020-04-07,AAPL,
2020-04-08,AAPL,
2020-04-09,AAPL,
2020-04-13,AAPL,
2020-04-14,AAPL,
2020-04-15,AAPL,
2020-04-16,AAPL,
2020-04-17,AAPL,
2020-04-20,AAPL,
2020-04-21,AAPL,
2020-04-22,AAPL,
2020-04-23,AAPL,
2020-04-24,AAPL,
2020-04-27,AAPL,
